0	-1	3
0.01	-1.15071	2.79321
0.02	-1.29261	2.59891
0.03	-1.42623	2.41635
0.04	-1.55202	2.24485
0.05	-1.67044	2.08374
0.06	-1.78191	1.93241
0.07	-1.88682	1.79028
0.08	-1.98554	1.65681
0.09	-2.07842	1.53149
0.1	-2.16579	1.41383
0.11	-2.24796	1.30338
0.12	-2.32522	1.19972
0.13	-2.39784	1.10245
0.14	-2.46608	1.01118
0.15	-2.53017	0.925563
0.16	-2.59036	0.845268
0.17	-2.64684	0.76998
0.18	-2.69982	0.699404
0.19	-2.74949	0.633262
0.2	-2.79603	0.571294
0.21	-2.8396	0.513253
0.22	-2.88036	0.458911
0.23	-2.91845	0.408048
0.24	-2.95403	0.360462
0.25	-2.98721	0.31596
0.26	-3.01811	0.274361
0.27	-3.04686	0.235496
0.28	-3.07357	0.199205
0.29	-3.09833	0.165338
0.3	-3.12123	0.133754
0.31	-3.14238	0.104319
0.32	-3.16185	0.0769084
0.33	-3.17972	0.051405
0.34	-3.19607	0.027698
0.35	-3.21097	0.00568344
0.36	-3.22448	-0.0147364
0.37	-3.23667	-0.0336535
0.38	-3.24759	-0.0511545
0.39	-3.2573	-0.0673205
0.4	-3.26585	-0.0822282
0.41	-3.27329	-0.0959495
0.42	-3.27966	-0.108552
0.43	-3.28501	-0.1201
0.44	-3.28938	-0.130652
0.45	-3.29279	-0.140265
0.46	-3.2953	-0.148992
0.47	-3.29693	-0.156883
0.48	-3.29771	-0.163984
0.49	-3.29767	-0.17034
0.5	-3.29684	-0.175992
0.51	-3.29524	-0.180978
0.52	-3.29291	-0.185336
0.53	-3.28985	-0.1891
0.54	-3.2861	-0.192302
0.55	-3.28167	-0.194973
0.56	-3.27658	-0.197141
0.57	-3.27085	-0.198833
0.58	-3.26449	-0.200074
0.59	-3.25752	-0.200889
0.6	-3.24996	-0.201299
0.61	-3.24181	-0.201326
0.62	-3.23309	-0.200989
0.63	-3.22382	-0.200307
0.64	-3.21399	-0.199297
0.65	-3.20363	-0.197976
0.66	-3.19274	-0.196359
0.67	-3.18133	-0.194461
0.68	-3.16941	-0.192296
0.69	-3.15699	-0.189875
0.7	-3.14407	-0.187212
0.71	-3.13066	-0.184317
0.72	-3.11677	-0.181202
0.73	-3.1024	-0.177875
0.74	-3.08756	-0.174347
0.75	-3.07225	-0.170626
0.76	-3.05648	-0.166721
0.77	-3.04025	-0.162639
0.78	-3.02357	-0.158388
0.79	-3.00643	-0.153975
0.8	-2.98885	-0.149405
0.81	-2.97083	-0.144686
0.82	-2.95236	-0.139823
0.83	-2.93345	-0.13482
0.84	-2.91411	-0.129684
0.85	-2.89433	-0.124418
0.86	-2.87412	-0.119028
0.87	-2.85348	-0.113517
0.88	-2.83241	-0.107889
0.89	-2.81091	-0.102148
0.9	-2.78899	-0.0962971
0.91	-2.76664	-0.0903399
0.92	-2.74386	-0.0842792
0.93	-2.72066	-0.0781178
0.94	-2.69704	-0.0718583
0.95	-2.673	-0.0655032
0.96	-2.64853	-0.0590549
0.97	-2.62364	-0.0525153
0.98	-2.59833	-0.0458867
0.99	-2.5726	-0.0391709
1	-2.54644	-0.0323695
